"","logFC","logCPM","PValue","FDR"
"YGR055W",-0.824845673885645,7.63342611876867,6.61026899016077e-38,1.3675860704469e-36
"YER190C-B",1.30270266793012,7.69407413269345,1.77468882144768e-37,3.6588270928592e-36
"YPR028W",0.642139251397109,8.37091556813943,1.82272622595454e-37,3.74481634686564e-36
"YDR089W",-1.7257491934852,5.76212085182888,2.93301053268455e-37,6.00505997297388e-36
"YDR502C",-0.681270085082854,7.99752085484253,4.64155479667001e-37,9.4703723213436e-36
"YBL050W",0.957908913138801,7.29598927433114,5.49210794954628e-37,1.11672861640774e-35
"YOR215C",1.14828615395618,6.88507294994944,8.14565713356034e-37,1.65061141298892e-35
"YHR142W",0.995265280923029,7.18332810154309,8.43451474805414e-37,1.70331139127086e-35
"YNL268W",0.721629894042112,8.06690322770518,9.34412692718944e-37,1.8805850009585e-35
"YLR259C",-0.424167683838688,9.34269380325289,1.12966593090342e-36,2.26584180106967e-35
"YKL100C",0.757641105407342,7.8571917219843,1.16670983454976e-36,2.33223719291585e-35
"YOR356W",1.13491228911825,7.27194423279775,1.28821019283956e-36,2.56644434714872e-35
"YNR034W-A",-1.68470564553693,5.41272621357306,1.38776655639675e-36,2.75550829335556e-35
"YNL284C-A",4.99374538586976,4.92018495216499,1.63819837193834e-36,3.24187952065524e-35
"YER001W",-1.64679585507436,5.90597928036547,3.90647175642191e-36,7.70486446091614e-35
"YLR417W",1.36605243818914,6.53831105379055,4.78484042285115e-36,9.40594710365789e-35
"YER136W",0.634017119938932,8.30944391011168,5.03010070423258e-36,9.85533306852455e-35
"YER124C",-1.43943553623313,6.06549791566456,5.75036931756526e-36,1.12293515683279e-34
"YLR325C",0.433957716769701,9.36782538545146,6.17698031337063e-36,1.20227606954651e-34
"YDR525W-A",1.9391272246648,5.59993850851833,1.02359589625569e-35,1.98577603873604e-34
"YGR130C",0.60499718305435,8.79050898132286,1.549471930612e-35,2.99615209589255e-34
"YPR159W",0.585682653433945,8.50409120412509,4.00446168191858e-35,7.71804552831017e-34
"YBR056W-A",-1.93014933463104,5.1334174113253,5.10589321214928e-35,9.80895134295042e-34
"YGL036W",0.877775635188734,7.43317455297609,5.43898154620044e-35,1.04150335951029e-33
"YMR195W",-1.14584126383174,6.57734795246361,8.82731647841092e-35,1.68487843879863e-33
"YAR010C",3.89179620423326,5.89294797369484,9.26560992075863e-35,1.75719916349772e-33
"YPR137C-A",3.89179620423326,5.89294797369484,9.26560992075863e-35,1.75719916349772e-33
"YBR230W-A",1.54089271092403,6.24851140221817,9.43087471738222e-35,1.78282701925721e-33
"YGR037C",0.759618746094335,8.06536396211716,1.26146384113544e-34,2.37709603439439e-33
"YGR032W",-0.728449165993016,7.85464401049288,1.95137960808956e-34,3.66549623525902e-33
"YJR029W",-2.76923635868606,9.08998131234483,2.7363621590654e-34,5.12375154911075e-33
"YMR191W",1.49801235134756,6.45395810421167,3.20601578929761e-34,5.9842256862063e-33
"YDL072C",0.624971958454674,8.31948061432432,3.39983769133354e-34,6.32605019484924e-33
"YNL219C",1.07264039967524,6.9452499581054,3.41084721996893e-34,6.32664043904582e-33
